scenario,description,selection_focus,priority,pipeline,sampler,logistic,threshold_key,cv_signature,soft_voting,threshold,test_auc,test_pr_auc,precision,recall,f1,cv_mean,cv_std,cv_mean_minus_std,auc_delta,leaderboard_score,production_score,artifact_base
lr_59_full_stack_balanced_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTETomek | L2 + class_weight balanced (C=0.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,validation_consistency,6.7,full_stack,smote_tomek,balanced_l2,max_f1,kfold_5,median,0.645,0.8511,0.6474,0.6327,0.5849,0.6078,0.762,0.0614,0.7006,-0.02860000000000007,0.7781099999999999,0.6086,artifacts\lr_59_full_stack_balanced_l2_max_f1_kfold_5
lr_52_quantile_bins_saga_l1_recall_guard_kfold_5,"Quantile-normalised numerics + bin stacking + ADASYN -> BorderlineSMOTE | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,6.7,quantile_bins,adasyn_border,saga_l1,recall_guard,kfold_5,median,0.425,0.8856,0.6513,0.3729,0.8302,0.5146,0.7962,0.0453,0.7509,0.005900000000000016,0.7743,0.58416,artifacts\lr_52_quantile_bins_saga_l1_recall_guard_kfold_5
lr_44_full_stack_mid_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTETomek | L2 mid-C (C=1.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,6.8,full_stack,smote_tomek,mid_l2,max_f1,kfold_5,median,0.575,0.8494,0.6445,0.5593,0.6226,0.5893,0.7574,0.0661,0.6913,-0.030299999999999994,0.77137,0.5906200000000001,artifacts\lr_44_full_stack_mid_l2_max_f1_kfold_5
lr_28_full_stack_mid_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L2 mid-C (C=1.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,6.9,full_stack,adasyn_border,mid_l2,max_f1,kfold_5,median,0.655,0.8499,0.6377,0.5769,0.566,0.5714,0.7678,0.0632,0.7047,-0.02980000000000005,0.76635,0.5714400000000001,artifacts\lr_28_full_stack_mid_l2_max_f1_kfold_5
lr_31_full_stack_high_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTETomek | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,6.9,full_stack,smote_tomek,high_l2,max_f1,kfold_5,median,0.625,0.8428,0.6382,0.6304,0.5472,0.5859,0.7565,0.0652,0.6913,-0.036900000000000044,0.7657299999999999,0.58822,artifacts\lr_31_full_stack_high_l2_max_f1_kfold_5
lr_42_full_stack_high_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=mean,holdout_auc,6.8,full_stack,adasyn_border,high_l2,max_f1,kfold_5,mean,0.655,0.8476,0.6347,0.6042,0.5472,0.5743,0.7631,0.0596,0.7035,-0.03210000000000002,0.7656099999999999,0.57542,artifacts\lr_42_full_stack_high_l2_max_f1_kfold_5
lr_13_full_stack_high_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,7.0,full_stack,adasyn_border,high_l2,max_f1,kfold_5,median,0.655,0.8476,0.6347,0.6042,0.5472,0.5743,0.7631,0.0596,0.7035,-0.03210000000000002,0.7656099999999999,0.57542,artifacts\lr_13_full_stack_high_l2_max_f1_kfold_5
lr_56_advanced_poly_high_l2_max_f1_kfold_5,Advanced interactions + degree-2 poly + ADASYN -> BorderlineSMOTE | L2 high-C (C=8.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,holdout_auc,6.7,advanced_poly,adasyn_border,high_l2,max_f1,kfold_5,median,0.56,0.8392,0.5949,0.5345,0.5849,0.5586,0.7432,0.0579,0.6853,-0.04050000000000009,0.7550199999999999,0.55948,artifacts\lr_56_advanced_poly_high_l2_max_f1_kfold_5
lr_41_full_stack_balanced_l2_max_f1_kfold_5,Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L2 + class_weight balanced (C=0.5) | threshold=Maximise F1 | Stratified KFold (5) | vote=median,validation_consistency,6.8,full_stack,adasyn_border,balanced_l2,max_f1,kfold_5,median,0.725,0.8551,0.6433,0.6,0.4528,0.5161,0.7761,0.061,0.715,-0.024600000000000066,0.7534,0.52434,artifacts\lr_41_full_stack_balanced_l2_max_f1_kfold_5
lr_51_quantile_bins_saga_l1_max_f1_kfold_5,"Quantile-normalised numerics + bin stacking + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,6.7,quantile_bins,smote_clean,saga_l1,max_f1,kfold_5,median,0.935,0.8483,0.5645,0.54,0.5094,0.5243,0.7667,0.0324,0.7344,-0.031399999999999983,0.7510999999999999,0.5246200000000001,artifacts\lr_51_quantile_bins_saga_l1_max_f1_kfold_5
lr_19_full_stack_saga_l1_max_f1_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTETomek | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,7.0,full_stack,smote_tomek,saga_l1,max_f1,kfold_5,median,0.525,0.8266,0.5532,0.4524,0.717,0.5547,0.7342,0.0754,0.6588,-0.053100000000000036,0.7450299999999999,0.5787,artifacts\lr_19_full_stack_saga_l1_max_f1_kfold_5
lr_49_full_stack_saga_l1_max_f1_kfold_5,"Full-stack (advanced + quantile + bins + selector) + SMOTE -> SMOTETomek | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=mean",holdout_auc,6.8,full_stack,smote_tomek,saga_l1,max_f1,kfold_5,mean,0.575,0.8266,0.5564,0.5,0.6038,0.547,0.7346,0.0759,0.6587,-0.053100000000000036,0.7427199999999999,0.5509200000000001,artifacts\lr_49_full_stack_saga_l1_max_f1_kfold_5
lr_33_quantile_bins_saga_l1_recall_guard_kfold_5,"Quantile-normalised numerics + bin stacking + SMOTE -> SMOTEENN cleanup | L1 sparse (saga, C=2.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median",production_precision_recall,6.8,quantile_bins,smote_clean,saga_l1,recall_guard,kfold_5,median,0.625,0.8483,0.5645,0.3438,0.8302,0.4862,0.7667,0.0324,0.7344,-0.031399999999999983,0.7396699999999999,0.56684,artifacts\lr_33_quantile_bins_saga_l1_recall_guard_kfold_5
lr_50_quantile_bins_high_l2_recall_guard_kfold_5,Quantile-normalised numerics + bin stacking + SMOTE -> SMOTEENN cleanup | L2 high-C (C=8.0) | threshold=Recall floor 0.72 | Stratified KFold (5) | vote=median,production_precision_recall,6.7,quantile_bins,smote_clean,high_l2,recall_guard,kfold_5,median,0.63,0.847,0.5623,0.3496,0.8113,0.4886,0.7645,0.0321,0.7324,-0.03270000000000006,0.7394799999999999,0.56208,artifacts\lr_50_quantile_bins_high_l2_recall_guard_kfold_5
lr_08_full_stack_saga_l1_max_f1_kfold_5,"Full-stack (advanced + quantile + bins + selector) + ADASYN -> BorderlineSMOTE | L1 sparse (saga, C=2.0) | threshold=Maximise F1 | Stratified KFold (5) | vote=median",holdout_auc,7.1,full_stack,adasyn_border,saga_l1,max_f1,kfold_5,median,0.585,0.8221,0.5318,0.5085,0.566,0.5357,0.7472,0.0699,0.6773,-0.057599999999999985,0.7361800000000001,0.53694,artifacts\lr_08_full_stack_saga_l1_max_f1_kfold_5
